id,date,number_passengers,duration
0,1995-01-01,38,2.0088394
1,1995-01-01,34,1.9356408
2,1995-01-01,,2.0252233
3,1995-01-01,,2.066374
4,1995-01-01,,1.0486785
5,1995-01-01,,1.0294625
6,1995-01-02,37,2.0515864
7,1995-01-02,39,2.0177128
8,1995-01-02,,1.9858108
9,1995-01-02,38,1.9684423
10,1995-01-02,66,1.0208497
11,1995-01-02,,0.9966303
12,1995-01-03,34,2.056277
13,1995-01-03,,2.044007
14,1995-01-03,67,1.0560292
15,1995-01-03,,1.0708061
16,1995-01-03,75,1.0442181
17,1995-01-03,82,1.1666882
18,1995-01-04,640,42.025433
19,1995-01-04,38,2.0031216
20,1995-01-04,,1.0461596
21,1995-01-04,,1.0816971
22,1995-01-04,76,1.0827976
23,1995-01-04,78,1.0100716
24,1995-01-05,35,1.9338858
25,1995-01-05,,2.0296812
26,1995-01-05,,1.0489712
27,1995-01-05,-75,-0.9591106
28,1995-01-05,,0.99530315
29,1995-01-05,,0.9931889
30,1995-01-06,,2.1345015
31,1995-01-06,34,2.1018522
32,1995-01-06,76,1.0907359
33,1995-01-06,,1.0261018
34,1995-01-06,65,1.0476412
35,1995-01-06,,1.077234
36,1995-01-07,38,2.0728061
37,1995-01-07,,2.0408835
38,1995-01-07,,1.051448
39,1995-01-07,75,0.98728275
40,1995-01-07,65,0.97583085
41,1995-01-07,,1.0247054
42,1995-01-08,38,2.0861802
43,1995-01-08,39,2.1053665
44,1995-01-08,39,2.1755695
45,1995-01-08,,2.0187657
46,1995-01-08,1500,22.075294
47,1995-01-08,,1.11924
48,1995-01-09,34,2.1452227
49,1995-01-09,33,2.05657
50,1995-01-09,,2.168718
51,1995-01-09,37,2.097191
52,1995-01-09,,1.0493158
53,1995-01-09,72,1.1197321
54,1995-01-10,41,2.0928593
55,1995-01-10,36,2.0932903
56,1995-01-10,,1.0399172
57,1995-01-10,70,1.0373582
58,1995-01-10,73,1.0966276
59,1995-01-10,76,1.0527865
60,1995-01-11,,2.0973248
61,1995-01-11,43,2.045439
62,1995-01-11,,-1.014545
63,1995-01-11,,1.0612156
64,1995-01-11,83,1.0016097
65,1995-01-11,,1.0823095
66,1995-01-12,,2.172554
67,1995-01-12,,2.0934942
68,1995-01-12,,1.012934
69,1995-01-12,70,1.0488294
70,1995-01-12,72,1.1268723
71,1995-01-12,75,1.0599803
72,1995-01-13,34,2.018578
73,1995-01-13,,1.9275295
74,1995-01-13,70,0.98749167
75,1995-01-13,82,1.0639733
76,1995-01-13,,1.023373
77,1995-01-13,77,1.0170594
78,1995-01-14,,1.9392736
79,1995-01-14,41,1.8537711
80,1995-01-14,74,1.0035034
81,1995-01-14,80,0.9749364
82,1995-01-14,76,1.0569665
83,1995-01-14,,0.9676941
84,1995-01-15,33,2.136205
85,1995-01-15,29,2.1348007
86,1995-01-15,,2.1453865
87,1995-01-15,31,2.2320204
88,1995-01-15,58,1.2436059
89,1995-01-15,,1.1960592
90,1995-01-16,30,2.148964
91,1995-01-16,740,40.97325
92,1995-01-16,34,2.0501835
93,1995-01-16,,1.995932
94,1995-01-16,,1.0255511
95,1995-01-16,,1.0621917
96,1995-01-17,39,2.095311
97,1995-01-17,,2.0480146
98,1995-01-17,74,1.0079716
99,1995-01-17,80,0.9779987
100,1995-01-17,83,1.0282916
101,1995-01-17,,0.98439866
102,1995-01-18,26,2.11115
103,1995-01-18,,2.1418772
104,1995-01-18,,1.1000278
105,1995-01-18,71,1.113115
106,1995-01-18,,1.0421045
107,1995-01-18,63,1.1846828
108,1995-01-19,45,2.0553179
109,1995-01-19,,1.9257483
110,1995-01-19,82,1.030819
111,1995-01-19,,1.0621446
112,1995-01-19,79,1.04954
113,1995-01-19,78,1.1175811
114,1995-01-20,36,2.0798926
115,1995-01-20,,41.908222
116,1995-01-20,77,1.064782
117,1995-01-20,79,0.9865546
118,1995-01-20,,1.0103601
119,1995-01-20,84,1.0648699
120,1995-01-21,,2.0483956
121,1995-01-21,38,2.0266788
122,1995-01-21,-73,-1.0048056
123,1995-01-21,,0.99184406
124,1995-01-21,75,1.0048313
125,1995-01-21,75,1.0274993
126,1995-01-22,42,2.068937
127,1995-01-22,29,2.1974447
128,1995-01-22,,2.0875204
129,1995-01-22,39,2.090482
130,1995-01-22,,1.1346167
131,1995-01-22,68,1.1141346
132,1995-01-23,40,2.0496755
133,1995-01-23,34,2.0341775
134,1995-01-23,38,2.0153577
135,1995-01-23,33,2.0045617
136,1995-01-23,71,1.078705
137,1995-01-23,68,1.0360606
138,1995-01-24,-39,-2.2310972
139,1995-01-24,,2.1126971
140,1995-01-24,74,1.1012611
141,1995-01-24,,1.0806608
142,1995-01-24,74,1.1134427
143,1995-01-24,70,1.1120877
144,1995-01-25,,2.001204
145,1995-01-25,,2.0229537
146,1995-01-25,82,1.050462
147,1995-01-25,,1.0823237
148,1995-01-25,1660,21.679174
149,1995-01-25,,0.979822
150,1995-01-26,,1.9881887
151,1995-01-26,,2.0906892
152,1995-01-26,68,1.1178945
153,1995-01-26,,1.0643513
154,1995-01-26,,1.0468743
155,1995-01-26,,21.44377
156,1995-01-27,,-2.1029181
157,1995-01-27,,1.9847478
158,1995-01-27,78,0.9684622
159,1995-01-27,,0.98152703
160,1995-01-27,,20.731873
161,1995-01-27,,1.0166028
162,1995-01-28,,1.9942245
163,1995-01-28,37,1.9966283
164,1995-01-28,,1.0308688
165,1995-01-28,,0.9940974
166,1995-01-28,72,1.0416614
167,1995-01-28,76,1.0472844
168,1995-01-29,,2.0336742
169,1995-01-29,40,2.0871048
170,1995-01-29,35,1.9803749
171,1995-01-29,39,1.9779365
172,1995-01-29,81,0.9633726
173,1995-01-29,77,1.0806326
174,1995-01-30,29,2.1434693
175,1995-01-30,,2.114658
176,1995-01-30,31,2.04659
177,1995-01-30,29,2.2305608
178,1995-01-30,,1.0920112
179,1995-01-30,67,1.1348815
180,1995-01-31,,2.188175
181,1995-01-31,,2.0266871
182,1995-01-31,,1.0805467
183,1995-01-31,,21.892416
184,1995-01-31,,1.0841551
185,1995-01-31,83,1.0913886
186,1995-02-01,,2.0328116
187,1995-02-01,,2.0530005
188,1995-02-01,,1.0698496
189,1995-02-01,,1.0173732
190,1995-02-01,75,1.0083485
191,1995-02-01,,0.95508754
192,1995-02-02,34,2.1595592
193,1995-02-02,40,2.0503728
194,1995-02-02,,1.0766118
195,1995-02-02,,1.0663266
196,1995-02-02,73,1.0051872
197,1995-02-02,,1.0841737
198,1995-02-03,,1.9569619
199,1995-02-03,33,2.118388
200,1995-02-03,81,1.0551834
201,1995-02-03,82,1.059744
202,1995-02-03,,1.0634352
203,1995-02-03,70,0.9767181
204,1995-02-04,37,1.9746555
205,1995-02-04,,39.817013
206,1995-02-04,,1.099449
207,1995-02-04,78,1.0967766
208,1995-02-04,,1.0283465
209,1995-02-04,74,1.0502375
210,1995-02-05,36,2.041644
211,1995-02-05,-39,-2.1381927
212,1995-02-05,,2.0661185
213,1995-02-05,,2.0725715
214,1995-02-05,,1.0376071
215,1995-02-05,,1.0410856
216,1995-02-06,,2.007885
217,1995-02-06,34,1.9889222
218,1995-02-06,,1.9552833
219,1995-02-06,,2.0250452
220,1995-02-06,,1.0482633
221,1995-02-06,,19.893293
222,1995-02-07,,2.1597412
223,1995-02-07,36,2.0450604
224,1995-02-07,,1.115027
225,1995-02-07,,1.080068
226,1995-02-07,,1.0927987
227,1995-02-07,68,1.0555321
228,1995-02-08,,1.8890082
229,1995-02-08,,2.099398
230,1995-02-08,,0.9508551
231,1995-02-08,80,0.9334722
232,1995-02-08,77,0.98320127
233,1995-02-08,,0.98267347
234,1995-02-09,39,2.1526327
235,1995-02-09,,1.9763055
236,1995-02-09,76,1.0353748
237,1995-02-09,,1.0107789
238,1995-02-09,,1.0319597
