"Ticket","SameFamilyCount","PassengerId","Pclass","Name","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","FamilySize"
"110469",1,1227,1,"Maguire, Mr. John Edward",1,30,0,0,26,"C106",3,0
"110489",1,1050,1,"Borebank, Mr. John James",1,42,0,0,26.55,"D22",3,0
"110813",1,1128,1,"Warren, Mr. Frank Manley",1,64,1,0,75.25,"D37",1,1
"111163",1,1083,1,"Salomon, Mr. Abraham L",1,30.2727317073171,0,0,26,"",3,0
"112051",1,1158,1,"Chisholm, Mr. Roderick Robert Crispin",1,30.2727317073171,0,0,0,"",3,0
"112058",1,1264,1,"Ismay, Mr. Joseph Bruce",1,49,0,0,0,"B52 B54 B56",3,0
"112377",1,1132,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",0,55,0,0,27.7208,"",1,0
"112378",2,1260,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",0,45,0,1,59.4,"",1,1
"112378",2,1294,1,"Gibson, Miss. Dorothy Winifred",0,22,0,1,59.4,"",1,1
"112901",1,1197,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",0,64,1,1,26.55,"B26",3,2
"113038",1,1107,1,"Head, Mr. Christopher",1,42,0,0,42.5,"B11",3,0
"113044",1,1247,1,"Julian, Mr. Henry Forbes",1,50,0,0,26,"E60",3,0
"113054",1,920,1,"Brady, Mr. John Bertram",1,41,0,0,30.5,"A21",3,0
"113059",1,1295,1,"Carrau, Mr. Jose Pedro",1,17,0,0,47.1,"",3,0
"113503",4,966,1,"Geiger, Miss. Amalie",0,35,0,0,211.5,"C130",1,0
"113503",4,967,1,"Keeping, Mr. Edwin",1,32.5,0,0,211.5,"C132",1,0
"113503",4,1110,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",0,50,1,1,211.5,"C80",1,2
"113503",4,1299,1,"Widener, Mr. George Dunton",1,50,1,1,211.5,"C80",1,2
"113509",1,918,1,"Ostby, Miss. Helene Ragnhild",0,22,0,1,61.9792,"B36",1,1
"113773",1,1074,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",0,18,1,0,53.1,"D30",3,1
"113778",1,933,1,"Franklin, Mr. Thomas Parham",1,30.2727317073171,0,0,26.55,"D34",3,0
"113780",1,1023,1,"Gracie, Col. Archibald IV",1,53,0,0,28.5,"C51",1,0
"113781",2,1033,1,"Daniels, Miss. Sarah",0,33,0,0,151.55,"",3,0
"113781",2,1198,1,"Allison, Mr. Hudson Joshua Creighton",1,30,1,2,151.55,"C22 C26",3,3
"113790",1,1215,1,"Rowe, Mr. Alfred G",1,33,0,0,26.55,"",3,0
"113791",1,1040,1,"Crafton, Mr. John Bertram",1,30.2727317073171,0,0,26.55,"",3,0
"113795",1,1123,1,"Willard, Miss. Constance",0,21,0,0,26.55,"",3,0
"113796",1,959,1,"Moore, Mr. Clarence Bloomfield",1,47,0,0,42.4,"",3,0
"113801",1,1190,1,"Loring, Mr. Joseph Holland",1,30,0,0,45.5,"",3,0
"11753",1,936,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",0,45,1,0,52.5542,"D19",3,1
"11765",1,1256,1,"Harder, Mrs. George Achilles (Dorothy Annan)",0,25,1,0,55.4417,"E50",1,1
"11767",1,1042,1,"Earnshaw, Mrs. Boulton (Olive Potter)",0,23,0,1,83.1583,"C54",1,1
"11769",1,1248,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",0,59,2,0,51.4792,"C101",3,2
"11770",1,969,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",0,55,2,0,25.7,"C101",3,2
"11778",2,992,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",0,43,1,0,55.4417,"C116",1,1
"11778",2,1069,1,"Stengel, Mr. Charles Emil Henry",1,54,1,0,55.4417,"C116",1,1
"11813",1,940,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",0,60,0,0,76.2917,"D15",1,0
"1222",1,1249,3,"Lockyer, Mr. Edward",1,30.2727317073171,0,0,7.8792,"",3,0
"12749",2,1200,1,"Hays, Mr. Charles Melville",1,55,1,1,93.5,"B69",3,2
"12749",2,1282,1,"Payne, Mr. Vivian Ponsonby",1,23,0,0,93.5,"B24",3,0
"13050",2,1010,1,"Beattie, Mr. Thomson",1,36,0,0,75.2417,"C6",1,0
"13050",2,1162,1,"McCaffry, Mr. Thomas Francis",1,46,0,0,75.2417,"C6",1,0
"13236",2,926,1,"Mock, Mr. Philipp Edmund",1,30,1,0,57.75,"C78",1,1
"13236",2,1014,1,"Schabert, Mrs. Paul (Emma Mock)",0,35,1,0,57.75,"C28",1,1
"13508",2,1144,1,"Clark, Mr. Walter Miller",1,27,1,0,136.7792,"C89",1,1
"13508",2,1164,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",0,26,1,0,136.7792,"C89",1,1
"13567",1,1289,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",0,48,1,1,79.2,"B41",1,2
"13695",2,942,1,"Smith, Mr. Lucien Philip",1,24,1,0,60,"C31",3,1
"13695",2,1287,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",0,18,1,0,60,"C31",3,1
"13905",1,986,1,"Birnbaum, Mr. Jakob",1,25,0,0,26,"",1,0
"1601",1,931,3,"Hee, Mr. Ling",1,30.2727317073171,0,0,56.4958,"",3,0
"16966",3,1088,1,"Spedden, Master. Robert Douglas",1,6,0,2,134.5,"E34",1,2
"16966",3,1134,1,"Spedden, Mr. Frederic Oakley",1,45,1,1,134.5,"E34",1,2
"16966",3,1263,1,"Wilson, Miss. Helen Alice",0,31,0,0,134.5,"E39 E41",1,0
"17463",1,1038,1,"Hilliard, Mr. Herbert Henry",1,30.2727317073171,0,0,51.8625,"E46",3,0
"17464",1,1137,1,"Kenyon, Mr. Frederick R",1,41,1,0,51.8625,"D21",3,1
"17475",1,1036,1,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey\")\"",1,42,0,0,26.55,"",3,0
"17765",1,1296,1,"Frauenthal, Mr. Isaac Gerald",1,43,1,0,27.7208,"D40",1,1
"17770",1,1060,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",0,30.2723622047244,0,0,27.7208,"",1,0
"19877",1,988,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",0,76,1,0,78.85,"C46",3,1
"19924",1,974,1,"Case, Mr. Howard Brown",1,49,0,0,26,"",3,0
"19928",1,1303,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",0,37,1,0,90,"C78",2,1
"19950",2,945,1,"Fortune, Miss. Ethel Flora",0,28,3,2,263,"C23 C25 C27",3,5
"19950",2,961,1,"Fortune, Mrs. Mark (Mary McDougald)",0,60,1,4,263,"C23 C25 C27",3,5
"2003",1,1220,2,"Clarke, Mr. Charles Valentine",1,29,1,0,26,"",3,1
"211535",1,1020,2,"Bowenur, Mr. Solomon",1,42,0,0,13,"",3,0
"21228",2,904,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",0,23,1,0,82.2667,"B45",3,1
"21228",2,1179,1,"Snyder, Mr. John Pillsbury",1,24,1,0,82.2667,"B45",3,1
"21332",1,1291,3,"Conlon, Mr. Thomas Henry",1,31,0,0,7.7333,"",2,0
"220844",1,1054,2,"Wright, Miss. Marion",0,26,0,0,13.5,"",3,0
"220845",3,1122,2,"Sweet, Mr. George Frederick",1,14,0,0,65,"",3,0
"220845",3,1245,2,"Herman, Mr. Samuel",1,49,1,2,65,"",3,3
"220845",3,1277,2,"Herman, Miss. Kate",0,24,1,2,65,"",3,3
"226875",1,1082,2,"Angle, Mr. William A",1,34,1,0,26,"",3,1
"228414",1,993,2,"Weisz, Mr. Leopold",1,27,1,0,26,"",3,1
"230136",2,1070,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",0,36,0,3,39,"F4",3,3
"230136",2,1218,2,"Becker, Miss. Ruth Elizabeth",0,12,2,1,39,"F4",3,3
"233478",1,1072,2,"McCrie, Mr. James Matthew",1,30,0,0,13,"",3,0
"233734",1,908,2,"Keane, Mr. Daniel",1,35,0,0,12.35,"",2,0
"235509",1,1085,2,"Lingane, Mr. John",1,61,0,0,12.35,"",2,0
"236853",1,1167,2,"Bryhl, Miss. Dagmar Jenny Ingeborg ",0,20,1,0,26,"",3,1
"236854",1,1221,2,"Enander, Mr. Ingvar",1,21,0,0,13,"",3,0
"237216",1,953,2,"McCrae, Mr. Arthur Gordon",1,32,0,0,13.5,"",3,0
"237249",1,935,2,"Corbett, Mrs. Walter H (Irene Colvin)",0,30,0,0,13,"",3,0
"237393",1,1056,2,"Peruschitz, Rev. Joseph Maria",1,41,0,0,13,"",3,0
"237670",1,1238,2,"Botsford, Mr. William Hull",1,26,0,0,13,"",3,0
"237734",1,1002,2,"Stanton, Mr. Samuel Ward",1,41,0,0,15.0458,"",1,0
"237735",1,1193,2,"Malachard, Mr. Noel",1,30.2727317073171,0,0,15.0458,"D",1,0
"237789",1,1133,2,"Christy, Mrs. (Alice Frances)",0,45,0,2,30,"",3,2
"239059",1,1077,2,"Maybery, Mr. Frank Hubert",1,40,0,0,16,"",3,0
"240261",1,976,2,"Lamb, Mr. John Joseph",1,30.2727317073171,0,0,10.7083,"",2,0
"240276",1,894,2,"Myles, Mr. Thomas Francis",1,62,0,0,9.6875,"",2,0
"24065",2,905,2,"Howard, Mr. Benjamin",1,63,1,0,26,"",3,1
"24065",2,1105,2,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",0,60,1,0,26,"",3,1
"24160",1,1216,1,"Kreuchen, Miss. Emilie",0,39,0,0,211.3375,"",3,0
"242963",1,1121,2,"Hocking, Mr. Samuel James Metcalfe",1,36,0,0,13,"",3,0
"244346",1,1279,2,"Ashby, Mr. John",1,57,0,0,13,"",3,0
"244358",1,1035,2,"Beauchamp, Mr. Henry James",1,28,0,0,26,"",3,0
"244360",1,1228,2,"de Brito, Mr. Jose Joaquim",1,32,0,0,13,"",3,0
"244368",1,1214,2,"Nesson, Mr. Israel",1,26,0,0,13,"F2",3,0
"248659",1,1029,2,"Schmidt, Mr. August",1,26,0,0,13,"",3,0
"248726",1,1240,2,"Giles, Mr. Ralph",1,24,0,0,13.5,"",3,0
"248734",1,1001,2,"Swane, Mr. George",1,18.5,0,0,13,"F",3,0
"248738",1,899,2,"Caldwell, Mr. Albert Francis",1,26,1,1,29,"",3,2
"248744",1,970,2,"Aldworth, Mr. Charles Augustus",1,30,0,0,13,"",3,0
"248746",1,1265,2,"Harbeck, Mr. William H",1,44,0,0,13,"",3,0
"250650",1,1130,2,"Hiltunen, Miss. Marta",0,18,1,1,13,"",3,2
"250651",1,1041,2,"Lahtinen, Rev. William",1,30,1,1,26,"",3,2
"2543",1,960,1,"Tucker, Mr. Gilbert Milligan Jr",1,31,0,0,28.5375,"C53",1,0
"2621",1,1025,3,"Thomas, Mr. Charles P",1,30.2727317073171,1,0,6.4375,"",1,1
"2622",1,1231,3,"Betros, Master. Seman",1,30.2727317073171,0,0,7.2292,"",1,0
"2625",1,996,3,"Thomas, Mrs. Alexander (Thamine Thelma\")\"",0,16,1,1,8.5167,"",1,2
"26360",1,1095,2,"Quick, Miss. Winifred Vera",0,8,1,1,26,"",3,2
"2650",2,1053,3,"Touma, Master. Georges Youssef",1,7,1,1,15.2458,"",1,2
"2650",2,1175,3,"Touma, Miss. Maria Youssef",0,9,1,1,15.2458,"",1,2
"2652",1,1184,3,"Nasr, Mr. Mustafa",1,30.2727317073171,0,0,7.2292,"",1,0
"2653",1,1225,3,"Nakid, Mrs. Said (Waika Mary\" Mowad)\"",0,19,1,1,15.7417,"",1,2
"2654",1,1213,3,"Krekorian, Mr. Neshan",1,25,0,0,7.2292,"F E57",1,0
"2655",1,1180,3,"Mardirosian, Mr. Sarkis",1,30.2727317073171,0,0,7.2292,"F E46",1,0
"2656",1,1028,3,"Zakarian, Mr. Mapriededer",1,26.5,0,0,7.225,"",1,0
"2657",1,900,3,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",0,18,0,0,7.2292,"",1,0
"2658",1,1203,3,"Vartanian, Mr. David",1,22,0,0,7.225,"",1,0
"2660",2,977,3,"Khalil, Mr. Betros",1,30.2727317073171,1,0,14.4542,"",1,1
"2660",2,1141,3,"Khalil, Mrs. Betros (Zahie Maria\" Elias)\"",0,30.2723622047244,1,0,14.4542,"",1,1
"2661",1,1117,3,"Moubarek, Mrs. George (Omine Amenia\" Alexander)\"",0,30.2723622047244,0,2,15.2458,"",1,2
"2662",2,921,3,"Samaan, Mr. Elias",1,30.2727317073171,2,0,21.6792,"",1,2
"2662",2,1189,3,"Samaan, Mr. Hanna",1,30.2727317073171,2,0,21.6792,"",1,2
"2668",1,1309,3,"Peter, Master. Michael J",1,30.2727317073171,1,1,22.3583,"",1,2
"2670",1,1063,3,"Zakarian, Mr. Ortin",1,27,0,0,7.225,"",1,0
