"seq","id","date","number_passengers","duration"
"1",0,1995-01-01,38,2.0088394
"2",1,1995-01-01,34,1.9356408
"3",2,1995-01-01,37,2.0252233
"4",3,1995-01-01,37,2.066374
"5",4,1995-01-01,74,1.0486785
"6",5,1995-01-01,74,1.0294625
"7",6,1995-01-02,37,2.0515864
"8",7,1995-01-02,39,2.0177128
"9",8,1995-01-02,37,1.9858108
"10",9,1995-01-02,38,1.9684423
"11",10,1995-01-02,66,1.0208497
"12",11,1995-01-02,78,0.9966303
"13",12,1995-01-03,34,2.056277
"14",13,1995-01-03,37,2.044007
"15",14,1995-01-03,67,1.0560292
"16",15,1995-01-03,73,1.0708061
"17",16,1995-01-03,75,1.0442181
"18",17,1995-01-03,82,1.1666882
"19",19,1995-01-04,38,2.0031216
"20",20,1995-01-04,75,1.0461596
"21",21,1995-01-04,73,1.0816971
"22",22,1995-01-04,76,1.0827976
"23",23,1995-01-04,78,1.0100716
"24",24,1995-01-05,35,1.9338858
"25",25,1995-01-05,35,2.0296812
"26",26,1995-01-05,71,1.0489712
"27",28,1995-01-05,73,0.99530315
"28",29,1995-01-05,73,0.9931889
"29",30,1995-01-06,36,2.1345015
"30",31,1995-01-06,34,2.1018522
"31",32,1995-01-06,76,1.0907359
"32",33,1995-01-06,74,1.0261018
"33",34,1995-01-06,65,1.0476412
"34",35,1995-01-06,72,1.077234
"35",36,1995-01-07,38,2.0728061
"36",37,1995-01-07,36,2.0408835
"37",38,1995-01-07,72,1.051448
"38",39,1995-01-07,75,0.98728275
"39",40,1995-01-07,65,0.97583085
"40",41,1995-01-07,73,1.0247054
"41",42,1995-01-08,38,2.0861802
"42",43,1995-01-08,39,2.1053665
"43",44,1995-01-08,39,2.1755695
"44",45,1995-01-08,37,2.0187657
"45",47,1995-01-08,70,1.11924
"46",48,1995-01-09,34,2.1452227
"47",49,1995-01-09,33,2.05657
"48",50,1995-01-09,36,2.168718
"49",51,1995-01-09,37,2.097191
"50",52,1995-01-09,72,1.0493158
"51",53,1995-01-09,72,1.1197321
"52",54,1995-01-10,41,2.0928593
"53",55,1995-01-10,36,2.0932903
"54",56,1995-01-10,74,1.0399172
"55",57,1995-01-10,70,1.0373582
"56",58,1995-01-10,73,1.0966276
"57",59,1995-01-10,76,1.0527865
"58",60,1995-01-11,38,2.0973248
"59",61,1995-01-11,43,2.045439
"60",63,1995-01-11,76,1.0612156
