codigotipoleito,nometipoleito
1,Cirúrgico
2,Obstétricos
3,Clínico
4,Crônicos
5,Psiquiatria
6,Pneumologia Sanitária (Tisiologia)
7,Pediátricos
8,Reabilitação
9,Leito Dia / Cirúrgicos
10,Leito Dia / Aids
11,Leito Dia / Fibrose Cística
12,Leito Dia / Intercorrência Pós-Tra
13,Leito Dia / Geriatria
14,Leito Dia / Saúde Mental
64,Unidade Intermediária
65,Unidade Intermediária Neonatal
74,UTI I
75,UTI Adulto II
76,UTI Adulto III
77,UTI Infantil I
78,UTI Infantil II
79,UTI Infantil III
80,UTI Neonatal I
81,UTI Neonatal II
82,UTI Neonatal III
83,UTI Queimados
84,Acolhimento Noturno
85,UTI Coronariana-UCO tipo II
86,UTI Coronariana-UCO tipo III
87,Saúde Mental (Clínico)
88,Queimado Adulto (Clínico)
89,Queimado Pediátrico (Clínico)
90,Queimado Adulto (Cirúrgico)
91,Queimado Pediátrico (Cirúrgico)
92,UCI Unidade de Cuidados Intermedia
93,UCI Unidade de Cuidados Intermedia
94,UCI Unidade de Cuidados Intermedia
95,UCI Unidade de Cuidados Intermedia
